,encounter,is_cm,is_success,time,player,profession,dps,might up,fury up,quick up,alac up,regen up,might out,fury out,quick out,alac out,regen out,dmgTaken,stack_dist,downed,dead_duration,cleanses,above90%,log
4,Mursaat Overseer,False,True,83.0,Nopiki.8352,Virtuoso,34907,24.642,99.281,99.727,95.583,99.281,0.0,9.186,0.0,0.0,0.0,57173,111.59121704101562,0,0.0,4,95.74898785425101,"https://dps.report/v4Ux-20231203-173526_mo
"
5,Mursaat Overseer,False,True,83.0,Derok.9834,Firebrand,23693,24.718,98.911,99.416,99.104,68.362,4.18,58.005,98.657,0.0,0.0,49343,91.85234069824219,0,0.0,26,89.8989898989899,"https://dps.report/v4Ux-20231203-173526_mo
"
6,Mursaat Overseer,False,True,83.0,ups.9017,Scourge,35284,24.72,99.241,99.416,99.104,84.528,5.388,0.0,0.0,0.0,0.0,50396,70.26593017578125,0,0.0,6,93.97590361445783,"https://dps.report/v4Ux-20231203-173526_mo
"
7,Mursaat Overseer,False,True,83.0,DARKstrider.9245,Scourge,17572,24.281,99.008,96.382,98.807,71.412,8.202,0.0,0.0,77.328,75.429,42771,97.18302154541016,0,0.0,17,95.65217391304348,"https://dps.report/v4Ux-20231203-173526_mo
"
8,Mursaat Overseer,False,True,83.0,Montgomery.1624,Scourge,31781,24.773,98.949,99.416,99.104,86.044,4.557,0.0,0.0,0.0,0.0,48662,99.06847381591797,0,0.0,13,92.40506329113924,"https://dps.report/v4Ux-20231203-173526_mo
"
9,Mursaat Overseer,False,True,83.0,MonTheR.2460,Chronomancer,30636,24.72,98.911,99.416,99.103,75.118,0.005,18.568,0.0,0.0,0.0,59385,103.990966796875,0,0.0,3,90.61662198391421,"https://dps.report/v4Ux-20231203-173526_mo
"
1,Cairn CM,True,True,87.0,Expertus.5746,Herald,27374,23.375,99.84,96.1,94.66,57.585,11.138,33.166,78.737,7.263,6.215,46396,113.00934600830078,0,0.0,0,90.73170731707317,"https://dps.report/5dtH-20231203-173228_cairn
"
2,Cairn CM,True,True,87.0,MrCamonkill.6419,Scourge,28092,23.401,99.84,96.1,71.25,44.438,3.457,0.0,0.0,0.0,0.0,50901,175.2813262939453,0,0.0,1,86.56126482213439,"https://dps.report/5dtH-20231203-173228_cairn
"
3,Cairn CM,True,True,87.0,I Know You Want Me.4627,Deadeye,17610,24.224,99.84,96.1,67.182,93.137,0.214,13.638,0.0,0.0,0.0,44328,181.7963104248047,0,0.0,1,92.05020920502092,"https://dps.report/5dtH-20231203-173228_cairn
"
4,Cairn CM,True,True,87.0,Nopiki.8352,Virtuoso,33160,24.149,99.84,96.1,71.031,63.537,0.0,19.121,0.0,0.0,0.0,47649,131.42880249023438,0,0.0,2,90.65934065934066,"https://dps.report/5dtH-20231203-173228_cairn
"
5,Cairn CM,True,True,87.0,Montgomery.1624,Scourge,30798,24.434,99.841,98.469,98.785,94.424,5.482,0.0,0.0,0.0,1.652,33186,103.70060729980469,0,0.0,2,97.6923076923077,"https://dps.report/5dtH-20231203-173228_cairn
"
6,Cairn CM,True,True,87.0,DARKstrider.9245,Scourge,10806,24.425,99.432,83.219,98.785,81.052,6.421,0.0,0.0,73.768,84.907,49060,239.42794799804688,0,0.0,6,72.26277372262774,"https://dps.report/5dtH-20231203-173228_cairn
"
7,Cairn CM,True,True,87.0,ups.9017,Scourge,35550,24.588,99.658,95.2,98.785,93.55,4.506,0.0,0.0,0.0,0.0,44064,96.78654479980469,0,0.0,2,97.85714285714286,"https://dps.report/5dtH-20231203-173228_cairn
"
9,Cairn CM,True,True,87.0,Derok.9834,Firebrand,17210,24.425,99.432,98.744,98.784,83.46,2.496,57.806,84.744,0.0,0.0,42677,132.1223602294922,0,0.0,6,82.97872340425532,"https://dps.report/5dtH-20231203-173228_cairn
"
0,Dhuum,False,True,322.0,MrCamonkill.6419,Scourge,15982,20.854,91.973,80.626,72.237,86.148,2.068,0.0,0.0,0.0,0.446,161744,373.66571044921875,0,0.0,2,89.47368421052632,"https://dps.report/fs0R-20231203-172810_dhuum
"
1,Dhuum,False,True,322.0,I Know You Want Me.4627,Daredevil,20096,18.803,96.208,77.291,64.403,63.115,0.0,8.161,0.0,0.0,0.0,129099,457.80126953125,0,0.0,3,65.84699453551913,"https://dps.report/fs0R-20231203-172810_dhuum
"
2,Dhuum,False,True,322.0,Sashyca.8172,Scourge,2562,11.519,32.69,32.513,80.03,40.844,2.427,0.0,0.0,25.835,10.09,83362,899.8392333984375,0,0.0,3,100.0,"https://dps.report/fs0R-20231203-172810_dhuum
"
3,Dhuum,False,True,322.0,Nopiki.8352,Virtuoso,21599,22.485,98.864,92.099,54.265,68.966,0.0,8.717,0.0,0.0,0.309,193778,335.3502197265625,0,0.0,2,79.9349240780911,"https://dps.report/fs0R-20231203-172810_dhuum
"
4,Dhuum,False,True,322.0,Expertus.5746,Herald,11798,21.275,99.993,98.617,66.346,76.938,7.316,32.441,60.172,3.726,26.35,86097,507.3257751464844,0,0.0,1,95.71917808219177,"https://dps.report/fs0R-20231203-172810_dhuum
"
5,Dhuum,False,True,322.0,MonTheR.2460,Chronomancer,22829,20.95,94.627,79.304,84.196,87.686,0.071,13.006,0.0,0.0,0.646,171777,368.88140869140625,1,0.0,0,81.64852255054433,"https://dps.report/fs0R-20231203-172810_dhuum
"
6,Dhuum,False,True,322.0,Montgomery.1624,Scourge,16743,18.71,90.767,63.791,59.042,65.125,2.183,0.0,0.0,0.0,0.446,146191,435.5204772949219,0,0.0,3,86.5429234338747,"https://dps.report/fs0R-20231203-172810_dhuum
"
7,Dhuum,False,True,322.0,DARKstrider.9245,Scourge,5816,19.175,95.192,46.977,91.454,61.724,6.342,0.0,0.0,60.584,57.489,109461,526.6356201171875,0,0.0,16,91.93548387096774,"https://dps.report/fs0R-20231203-172810_dhuum
"
8,Dhuum,False,True,322.0,ups.9017,Scourge,20354,22.222,98.522,85.228,87.082,82.594,3.075,0.0,0.0,0.0,0.596,115704,300.2828063964844,0,0.0,3,96.65354330708661,"https://dps.report/fs0R-20231203-172810_dhuum
"
9,Dhuum,False,True,322.0,Derok.9834,Firebrand,12031,20.767,97.541,95.932,78.094,85.115,2.033,38.557,52.587,0.0,2.205,140412,319.2197265625,0,0.0,17,88.23529411764706,"https://dps.report/fs0R-20231203-172810_dhuum
"
0,Dhuum,False,False,158.0,MrCamonkill.6419,Scourge,12845,21.999,99.476,93.461,46.985,59.367,2.789,0.0,0.0,0.0,0.0,76043,429.7406311035156,0,0.02,1,48.529411764705884,"https://dps.report/J6ph-20231203-172208_dhuum
"
1,Dhuum,False,False,158.0,I Know You Want Me.4627,Daredevil,33132,18.896,99.475,90.776,45.015,49.395,0.0,7.975,0.0,0.0,0.0,64170,544.064453125,0,0.0,3,96.42857142857143,"https://dps.report/J6ph-20231203-172208_dhuum
"
2,Dhuum,False,False,158.0,Sashyca.8172,Scourge,1571,6.673,5.084,3.197,73.842,35.595,1.088,0.0,0.0,16.288,10.095,74084,1111.9703369140625,0,0.02,3,100.0,"https://dps.report/J6ph-20231203-172208_dhuum
"
3,Dhuum,False,False,158.0,Nopiki.8352,Virtuoso,18114,22.946,99.491,95.72,41.735,59.724,0.0,6.526,0.0,0.0,0.0,90448,341.1417541503906,0,0.02,0,65.9090909090909,"https://dps.report/J6ph-20231203-172208_dhuum
"
4,Dhuum,False,False,158.0,Expertus.5746,Herald,8147,20.814,99.492,95.372,40.239,52.006,7.152,33.378,60.647,2.846,21.285,54901,588.2701416015625,0,0.02,0,89.28571428571429,"https://dps.report/J6ph-20231203-172208_dhuum
"
5,Dhuum,False,False,158.0,Montgomery.1624,Scourge,13300,18.265,84.568,80.301,53.377,49.277,2.814,0.0,0.0,0.0,0.0,49924,459.3473205566406,0,0.02,0,100.0,"https://dps.report/J6ph-20231203-172208_dhuum
"
6,Dhuum,False,False,158.0,MonTheR.2460,Chronomancer,26713,18.838,96.077,88.705,54.11,58.151,0.004,5.706,0.0,0.0,0.0,61717,502.1529541015625,0,0.02,0,100.0,"https://dps.report/J6ph-20231203-172208_dhuum
"
7,Dhuum,False,False,158.0,DARKstrider.9245,Scourge,4555,14.883,76.771,49.827,77.017,58.321,4.652,0.0,0.0,48.131,30.739,42990,695.669677734375,0,0.02,3,100.0,"https://dps.report/J6ph-20231203-172208_dhuum
"
8,Dhuum,False,False,158.0,ups.9017,Scourge,11400,19.278,88.349,84.105,63.59,62.777,1.896,0.0,0.0,0.0,0.0,71150,459.25921630859375,0,0.02,0,74.4186046511628,"https://dps.report/J6ph-20231203-172208_dhuum
"
9,Dhuum,False,False,158.0,Derok.9834,Firebrand,9565,22.929,96.092,96.527,78.071,58.429,2.934,31.457,51.293,0.0,0.0,51902,358.1188659667969,0,0.01,3,100.0,"https://dps.report/J6ph-20231203-172208_dhuum
"
0,Soulless Horror CM,True,True,183.0,I Know You Want Me.4627,Druid,3717,20.118,90.716,80.24,93.274,76.188,2.763,0.0,0.0,31.001,22.734,193210,175.52169799804688,0,0.0,47,94.73684210526316,"https://dps.report/xu4J-20231203-170253_sh
"
1,Soulless Horror CM,True,True,183.0,Expertus.5746,Berserker,26920,21.297,87.971,84.415,90.705,83.529,0.0,59.854,74.384,0.0,0.545,256127,118.72212219238281,1,0.0,23,89.39873417721519,"https://dps.report/xu4J-20231203-170253_sh
"
2,Soulless Horror CM,True,True,183.0,Sashyca.8172,Scourge,7199,22.593,94.574,82.278,95.311,79.715,8.989,0.116,0.0,52.026,50.231,389286,174.48020935058594,1,0.0,46,68.28143021914649,"https://dps.report/xu4J-20231203-170253_sh
"
4,Soulless Horror CM,True,True,183.0,Nopiki.8352,Virtuoso,34505,22.839,96.238,96.72,96.72,85.798,0.0,15.656,0.0,0.0,0.206,190622,148.12379455566406,0,0.0,28,88.82450331125828,"https://dps.report/xu4J-20231203-170253_sh
"
5,Soulless Horror CM,True,True,183.0,ups.9017,Scourge,33642,23.526,96.442,90.369,96.782,92.441,4.062,0.0,0.0,0.0,0.014,158223,111.1301040649414,0,0.0,20,96.98581560283688,"https://dps.report/xu4J-20231203-170253_sh
"
6,Soulless Horror CM,True,True,183.0,Derok.9834,Firebrand,21585,24.165,98.526,98.898,98.526,96.41,3.016,64.509,83.848,0.0,0.0,173441,105.55809783935547,0,0.0,24,93.54066985645933,"https://dps.report/xu4J-20231203-170253_sh
"
8,Soulless Horror CM,True,True,183.0,DARKstrider.9245,Scourge,10376,23.296,92.133,91.729,91.978,92.733,6.23,0.0,0.0,72.776,65.95,336574,172.47767639160156,1,0.0,47,88.01369863013699,"https://dps.report/xu4J-20231203-170253_sh
"
9,Soulless Horror CM,True,True,183.0,MonTheR.2460,Scourge,26408,23.302,95.165,83.838,97.216,93.704,4.298,0.0,0.0,0.0,0.49,207457,117.7452621459961,0,0.0,28,88.81987577639751,"https://dps.report/xu4J-20231203-170253_sh
"
0,Qadim,False,True,390.0,Sashyca.8172,Scourge,3699,17.355,93.108,64.332,100.0,55.564,9.011,0.348,0.0,57.963,23.36,234042,627.759765625,1,0.0,84,97.40820734341253,"https://dps.report/dIvu-20231203-165415_qadim
"
1,Qadim,False,True,390.0,Expertus.5746,Berserker,18546,17.487,95.17,90.514,84.913,35.666,0.0,50.577,48.947,0.0,0.0,152751,624.34423828125,1,0.0,13,87.61904761904762,"https://dps.report/dIvu-20231203-165415_qadim
"
2,Qadim,False,True,390.0,ups.9017,Scrapper,18725,16.057,92.207,70.56,87.262,26.526,0.307,13.128,0.0,0.0,0.0,137078,781.5059204101562,0,0.0,3,99.09909909909909,"https://dps.report/dIvu-20231203-165415_qadim
"
3,Qadim,False,True,390.0,MrCamonkill.6419,Reaper,16214,18.833,95.072,94.306,88.504,30.837,0.014,0.0,0.0,0.0,0.0,264634,535.6174926757812,1,0.0,3,79.14230019493178,"https://dps.report/dIvu-20231203-165415_qadim
"
4,Qadim,False,True,390.0,Nopiki.8352,Vindicator,14972,14.232,92.23,66.5,83.202,34.599,0.062,0.0,0.0,0.0,0.0,238214,606.6483154296875,1,0.0,0,76.27118644067797,"https://dps.report/dIvu-20231203-165415_qadim
"
5,Qadim,False,True,390.0,DARKstrider.9245,Scourge,3845,11.923,84.736,26.827,90.379,68.566,3.743,0.0,0.0,22.481,29.951,199046,1923.2144775390625,0,0.0,58,91.87817258883248,"https://dps.report/dIvu-20231203-165415_qadim
"
