encounter,is_cm,is_success,time,player,profession,dps,might up,fury up,quick up,alac up,regen up,might out,fury out,quick out,alac out,regen out,dmgTaken,stack_dist,downed,dead_duration,cleanses,above90%,log,role
Sabetha the Saboteur,False,True,221,hurricanelimcy.6793,Mechanist,2031,16.779,64.469,94.647,84.495,86.955,11.068,17.764,0,84.317,86.944,105674,431.954742431641,0,0,29,100,"https://dps.report/wgL7-20231120-202849_sab
",aHeal
Cairn CM,True,True,92,hurricanelimcy.6793,Mechanist,2040,23.66,99.487,99.797,99.745,98.141,15.203,26.317,0,93.685,86.392,29043,146.850448608398,0,0,3,100,"https://dps.report/Kbzi-20231204-201923_cairn
",aHeal
Samarog CM,True,True,398,seb.2804,Chronomancer,2074,23.493,99.556,98.93,98.112,98.382,8.131,9.302,0,78.231,76.532,137003,229.095184326172,0,0,10,94.7252747252747,"https://dps.report/HtZR-20231204-203453_sam
",aHeal
Cardinal Sabir CM,True,True,257,Lorker Prime.5842,Scourge,2076,24.773,99.591,98.116,99.498,97.444,6.776,13.407,0,75.448,81.841,162708,136.963729858398,0,0,50,98.6238532110092,"https://dps.report/LbLo-20231119-161045_sabir
",aHeal
Slothasor,False,True,187,Lorker Prime.5842,Scourge,2101,20.761,83.734,85.986,86.914,84.706,5.489,30.609,0.802,64.021,74.226,163990,142.833419799805,0,0,113,94.8509485094851,"https://dps.report/E6aW-20231119-183507_sloth
",aHeal
Vale Guardian,False,True,155,hurricanelimcy.6793,Mechanist,2104,24.156,98.894,62.253,98.556,98.737,13.163,14.089,0,84.045,51.696,65176,187.510330200195,0,0,1,100,"https://dps.report/qyLg-20231204-190551_vg
",aHeal
Dhuum,False,False,456,seb.2804,Druid,2108,19.099,93.684,51.167,77.964,88.205,7.551,25.339,0,26.664,21.25,170246,548.405090332031,0,35.95,22,95.8646616541353,"https://dps.report/4rWr-20231122-221143_dhuum
",aHeal
Qadim CM,True,False,113,Lorker Prime.5842,Scourge,2126,23.63,99.938,96.179,99.938,70.241,4.036,11.402,0,61.462,59.907,85683,589.242065429688,0,21,19,100,"https://dps.report/tehP-20231119-165052_qadim
",aHeal
Matthias Gabrel,False,True,165,DARKstrider.7804,Mechanist,2147,20.581,99.394,84.733,98.136,76.551,14.309,24.3,0,76.695,67.348,89920,328.475006103516,1,0,22,91.358024691358,"https://dps.report/7usB-20231112-184324_matt
",aHeal
Slothasor,False,True,137,seb.2804,Druid,2148,23.746,98.496,81.083,97.331,90.139,16.198,28.014,0,72.883,52.621,79864,193.718124389648,0,0,56,93.8095238095238,"https://dps.report/lvbt-20231120-203351_sloth
",aHeal
Qadim the Peerless CM,True,False,307,seb.2804,Druid,2151,23.74,97.449,94.548,83.267,94.899,6.929,27.55,0,26.075,43.071,58860,392.303863525391,0,0.07,71,100,"https://dps.report/ETCo-20231115-193611_qpeer
",aHeal
Sabetha the Saboteur,False,True,219,hurricanelimcy.6793,Mechanist,2155,15.924,99.501,93.805,98.514,86.21,12.619,14.721,0,79.33,79.826,55246,324.753692626953,0,0,61,100,"https://dps.report/j75U-20231204-192417_sab
",aHeal
Qadim CM,True,False,355,Lorker Prime.5842,Scourge,2157,24.328,99.972,93.162,99.972,85.778,4.446,10.644,0,67.602,59.745,154039,785.452209472656,0,20,73,96.319018404908,"https://dps.report/SejY-20231119-165918_qadim
",aHeal
Qadim the Peerless CM,True,True,348,seb.2804,Druid,2169,22.634,96.002,79.76,86.089,93.43,10.157,31.513,0,40.013,48.569,76466,352.774475097656,0,0,100,100,"https://dps.report/5dbD-20231122-213703_qpeer
",aHeal
Soulless Horror CM,True,False,184,seb.2804,Druid,2179,21.855,89.419,86.166,89.999,91.777,10.942,29.97,0,83.368,78.356,170613,117.529823303223,1,8.86,129,77.5510204081633,"https://dps.report/IGTM-20231206-211134_sh
",aHeal
Soulless Horror CM,True,False,194,hurricanelimcy.6793,Scourge,2180,18.372,91.652,68.242,88.797,67.276,7.137,1.991,0,71.556,59.56,632843,216.296127319336,5,31.58,33,56.6137566137566,"https://dps.report/ZKYc-20231129-193003_sh
",aHeal
Matthias Gabrel,False,True,159,seb.2804,Druid,2199,24.742,99.017,99.195,98.37,96.808,13.777,38.09,0,65.317,72.357,81763,177.286407470703,0,0,47,100,"https://dps.report/xvTx-20231127-194838_matt
",aHeal
